ID,Age,Name,Email,Product,Category,Quantity,Unit Price,Total,Payment,Ordered At
55,51,Valerie Hartman,noah23@example.org,Monitor,Photography,2,138,276,Cash,2024-05-03
56,46,Nicholas Jimenez,pattersonerin@example.org,Monitor,Photography,,1499,0,PayPal
57,20,Anita Miller,hdavis@example.org,Smartphone,Accessories,2,1443,2886,Credit Card,2024-12-05
58,22,Karen Byrd,michaeladams@example.net,Laptop,Electronics,5,230,1150,Cash,2025-07-30
59,34,Kyle Johnson,ryangonzalez@example.org,Headphones,Electronics,3,981,2943,PayPal,2025-05-08
60,19,Kristina Scott,walkercharles@example.com,Tablet,Accessories,2,222,444,PayPal,2024-09-16
61,70,Adam Garrison,rachelmay@example.net,Mouse,Accessories,2,432,864,PayPal,2025-08-01
62,39,Mr. Christopher Edwards Jr.,tuckerkiara@example.net,Mouse,Electronics,3,174,522,Cash,2024-07-02
63,21,Adam Tran,ywallace@example.org,Headphones,Electronics,3,499,1497,PayPal,2025-01-12
64,53,Mark Baker,boyderik@example.org,Mouse,Electronics,1,649,649,PayPal,2024-10-07
65,28,Sarah Richardson,wyatthubbard@example.net,Tablet,Photography,2,1233,2466,PayPal,2024-08-05
66,31,Brittney Bell DDS,nguzman@example.net,Mouse,Accessories,2,326,652,Credit Card,2025-10-01
67,53,,xortiz@example.org,Printer,Accessories,1,109,109,PayPal,2026-02-11
68,21,Donna Espinoza,lopezlisa@example.net,Keyboard,Electronics,1,1450,1450,Cash,2025-10-18
69,37,Heather White,andreacruz@example.org,Tablet,Photography,4,1284,5136,Cash,2025-02-13
70,20,Angela Jackson,kbaker@example.com,Monitor,Photography,1,748,748,Cash,2024-05-28
71,64,,perezcarlos@example.net,Webcam,Accessories,1,1202,1202,PayPal,2024-04-14
72,53,Sarah Miller,robinsonlinda@example.org,Speaker,Electronics,2,303,606,Cash,2025-06-21
73,22,Amanda Dorsey,jjones@example.org,Headphones,Electronics,2,123,246,Credit Card,2025-11-05
74,34,Emily Mason,michael80@example.org,Laptop,Photography,3,1199,3597,Credit Card,2025-02-14
75,68,Suzanne Sandoval,michael16@example.org,Smartphone,Photography,3,373,1119,Credit Card,2024-08-31
76,32,Brittany Hernandez,patricia87@example.com,Speaker,Electronics,2,737,1474,PayPal,2025-06-13
77,25,Charles Martinez,rivasmegan@example.org,Headphones,Photography,1,306,306,Cash,2024-07-21
78,29,Jessica Wilson,martinrobert@example.net,Webcam,Accessories,3,973,2919,Cash,2025-10-27
79,25,Anthony Glenn,joshua08@example.com,Headphones,Photography,2,1052,2104,Credit Card,2025-04-24
80,57,Christina Brennan,tayloreric@example.com,Camera,Electronics,1,273,273,PayPal,2025-12-24
81,68,Robert Rodriguez,geoffreyfitzpatrick@example.org,Laptop,Photography,4,551,2204,Cash,2025-12-21
82,38,Beverly Ruiz,peterconley@example.net,Laptop,Accessories,2,476,952,Credit Card,2026-02-25
83,36,Joseph Spencer,uortiz@example.org,Tablet,Accessories,1,212,212,Cash,2025-02-01
84,42,Zachary Johnson,lisagross@example.com,Mouse,Electronics,4,113,452,PayPal
85,58,Tabitha Gomez,sandraadams@example.net,Webcam,Electronics,4,928,3712,Credit Card,2026-01-16
86,23,,alancarney@example.net,Mouse,Photography,1,189,189,PayPal,2025-02-28
87,49,Morgan Knight,xbennett@example.com,Printer,Accessories,1,414,414,PayPal,2024-06-19
88,50,Tony Lutz,hollywilson@example.org,Speaker,Electronics,2,1200,2400,PayPal,2025-01-10
89,39,Hannah Gray,njohnston@example.org,Keyboard,Photography,2,433,866,Cash,2025-10-25
90,30,David Shaw,smithalex@example.org,Tablet,Photography,,253,0,PayPal,2025-07-04
91,45,Nicole Guerrero,kristinaalvarez@example.net,Webcam,Accessories,1,1143,1143,Cash,2024-03-02
92,68,Aaron Matthews,ruben56@example.com,Headphones,Accessories,3,617,1851,Credit Card,2025-07-09
93,69,Corey Stanton,kennethlindsey@example.org,Smartphone,Accessories,2,449,898,PayPal,2025-10-13
94,59,George Sanchez,terrycatherine@example.com,Tablet,Accessories,3,408,1224,PayPal,2026-01-04
95,51,Kristina Norton,brianhoffman@example.org,Smartphone,Accessories,4,1411,5644,Cash,2025-10-16
96,50,Jessica Miller,melissamann@example.net,Headphones,Accessories,4,712,2848,Credit Card,2025-10-30
97,61,Angel Garcia,mariajackson@example.com,Monitor,Accessories,4,614,2456,Credit Card,2025-10-03
98,68,,lwright@example.org,Camera,Photography,4,1184,4736,Cash,2025-03-21
99,46,Debra Simon,astanley@example.net,Headphones,Photography,1,26,26,Cash,2024-06-21
100,66,Beth Rush,dennis30@example.com,Laptop,Photography,5,797,3985,Credit Card
101,18,Daniel Ryan,russopatrick@example.com,Tablet,Accessories,3,1134,3402,Cash,2025-07-09
102,29,Jennifer Myers,jdawson@example.org,Tablet,Electronics,1,186,186,PayPal,2024-03-04
103,25,Scott Mathews,eshaw@example.com,Speaker,Photography,5,364,1820,PayPal,2025-08-04
104,29,Frank Saunders,dennisrichard@example.org,Laptop,Accessories,3,387,1161,Cash,2025-06-01
105,35,Mark Rodriguez,frankbarker@example.net,Laptop,Accessories,3,1215,3645,Credit Card,2024-10-12
106,30,Nicholas Moore,whitneyluna@example.com,Smartphone,Photography,5,711,3555,Credit Card,2025-06-26
107,24,Dennis Mitchell,rmccullough@example.net,Speaker,Accessories,5,923,4615,PayPal,2025-05-27
108,26,Danny Walker,jeremyward@example.net,Speaker,Electronics,,1397,0,Credit Card,2025-04-02
109,48,Scott Gillespie,itownsend@example.org,Monitor,Accessories,4,219,876,Cash
110,61,Jerome Rhodes,austinnicholas@example.net,Speaker,Photography,1,1000,1000,Cash,2025-11-11
111,68,Cindy Waters,ariasangela@example.net,Laptop,Accessories,3,336,1008,Cash
112,24,Teresa Gallagher,karen72@example.net,Webcam,Electronics,3,841,2523,Cash,2024-05-22
113,63,Stephanie Hartman,ffletcher@example.net,Webcam,Electronics,5,775,3875,PayPal,2024-07-29
114,48,Maria Miller,xcoleman@example.com,Monitor,Electronics,5,490,2450,PayPal,2025-01-03
115,46,Luke Kelly,hillelizabeth@example.net,Monitor,Photography,4,653,2612,Credit Card,2024-09-04
116,38,Michael Payne,jwilliamson@example.net,Headphones,Electronics,5,865,4325,PayPal,2025-12-24
117,67,Lauren Thomas,nicolewallace@example.com,Smartphone,Electronics,,330,0,Cash,2024-04-05
118,46,Seth Nguyen,lyonsdeborah@example.org,Monitor,Photography,1,1165,1165,PayPal,2024-08-05
119,57,Jerry Wright,alexandramorse@example.org,Mouse,Accessories,3,190,570,Cash,2024-06-19
120,58,Christian Evans,matthewsmisty@example.com,Laptop,Accessories,5,1031,5155,PayPal,2025-09-17
121,23,Regina Mitchell,smithlaura@example.org,Laptop,Electronics,4,851,3404,PayPal,2025-03-04
122,23,Timothy Holmes,shannonatkins@example.net,Mouse,Photography,4,574,2296,PayPal,2025-07-08
123,48,Jeffery Bauer,lsanchez@example.com,Keyboard,Photography,2,1398,2796,Credit Card,2024-07-13
124,48,Marissa Harris,justinsnow@example.net,Headphones,Accessories,4,285,1140,PayPal,2025-09-27
125,64,James Wood,gregory16@example.com,Smartphone,Accessories,1,485,485,Cash,2024-12-02
126,19,Michael Trujillo,qmcgee@example.net,Keyboard,Accessories,1,65,65,Cash,2025-03-18
127,50,Shannon Brooks,allison14@example.net,Camera,Accessories,1,341,341,Credit Card,2024-07-04
128,29,Robert Santiago,buchananbrandy@example.net,Camera,Accessories,1,398,398,Cash,2025-05-21
129,50,Haley Valentine,mlopez@example.org,Smartphone,Photography,3,1064,3192,Credit Card,2024-05-04
130,36,Mary Cohen,jennifergarza@example.org,Camera,Photography,4,737,2948,PayPal,2026-02-16
131,26,,gkim@example.com,Tablet,Electronics,2,1233,2466,Credit Card,2024-08-27
132,43,Christopher Marshall,priley@example.com,Headphones,Accessories,5,1362,6810,PayPal,2025-08-16
133,29,Randy Brown,sarah33@example.net,Mouse,Electronics,5,927,4635,Cash,2026-01-27
134,63,Sarah Jones,cervantesconnie@example.org,Keyboard,Photography,3,207,621,Credit Card
135,46,Kevin Hill,joseph34@example.com,Webcam,Electronics,2,710,1420,PayPal,2025-05-06
136,42,James Proctor,boyerrichard@example.com,Speaker,Electronics,3,72,216,Cash,2024-12-22
137,33,Mary Erickson,dprice@example.net,Camera,Photography,1,893,893,Credit Card,2025-12-05
138,55,Heather Long,cheryl25@example.org,Smartphone,Photography,2,934,1868,PayPal
139,65,,harrisdarren@example.net,Speaker,Accessories,4,373,1492,Credit Card,2025-11-04
140,30,Suzanne Short,ashley71@example.net,Headphones,Electronics,2,365,730,Credit Card,2024-10-09
141,45,Jessica Collins,feliciatravis@example.net,Webcam,Electronics,5,289,1445,Cash,2025-12-11
142,55,Bobby Reed,imoody@example.org,Mouse,Accessories,1,942,942,PayPal
143,45,Brian Clark,stewartnancy@example.net,Webcam,Photography,5,1320,6600,Cash,2024-10-07
144,47,Timothy Smith,yateschristian@example.org,Camera,Photography,4,294,1176,PayPal,2025-08-01
145,66,Betty Gross,roblescharles@example.com,Webcam,Accessories,2,978,1956,PayPal,2025-03-14
146,19,Evan Davis,lisajefferson@example.org,Speaker,Electronics,1,26,26,Cash,2026-01-30
147,32,Alex Sanchez,brittany47@example.com,Mouse,Accessories,2,326,652,PayPal,2025-08-16
148,53,Kylie Ortega,ayaladouglas@example.org,Headphones,Electronics,4,320,1280,Cash,2025-12-18
149,59,Abigail Macdonald,patricialee@example.org,Speaker,Photography,2,508,1016,Cash,2025-02-20
150,63,Kevin Townsend,eric91@example.net,Keyboard,Electronics,5,936,4680,Cash,2024-07-15
151,67,Nicholas Kennedy,samuel46@example.com,Speaker,Electronics,1,1280,1280,PayPal,2024-04-22
152,62,Jesse Montgomery,chadsullivan@example.net,Laptop,Photography,4,513,2052,PayPal,2024-10-18
153,56,Beth Edwards,elizabethbartlett@example.org,Keyboard,Electronics,5,690,3450,Credit Card,2025-09-16
154,60,Chad Jimenez,walkermelanie@example.org,Smartphone,Accessories,1,912,912,Credit Card
155,30,Donna Austin,aimee01@example.com,Camera,Electronics,5,308,1540,PayPal,2025-12-23
156,61,Austin Phelps,ryanstafford@example.org,Speaker,Electronics,3,1312,3936,PayPal
157,62,Tracy Willis,robertewing@example.net,Webcam,Electronics,4,860,3440,Cash,2024-09-26
158,39,Joseph Trevino,egarza@example.org,Keyboard,Electronics,1,1226,1226,PayPal,2025-04-03
159,58,Christine Hendrix,kaylawright@example.net,Smartphone,Electronics,5,704,3520,PayPal,2026-01-10
160,61,James Grimes,garciakelly@example.net,Printer,Accessories,5,1076,5380,Credit Card,2024-08-28
161,70,April Kramer,james29@example.net,Printer,Accessories,1,921,921,Credit Card,2025-08-05
162,47,Jason Ramirez,allencrystal@example.com,Keyboard,Accessories,2,1101,2202,PayPal,2024-04-03
163,44,Taylor Beck,dylansanders@example.net,Monitor,Photography,4,1151,4604,Cash,2024-04-23
164,55,Brenda Perez,adammeyers@example.net,Laptop,Photography,3,1352,4056,PayPal,2026-01-06
165,28,Shelly Johnson,juanharris@example.com,Mouse,Photography,3,975,2925,Cash,2025-01-22
166,24,Matthew Watson MD,william83@example.com,Speaker,Accessories,1,436,436,Cash
167,25,John Larson,mpatterson@example.org,Laptop,Photography,3,106,318,Credit Card,2025-03-22
168,63,Christy Carney,timothy35@example.com,Webcam,Accessories,5,813,4065,Cash,2024-08-24
169,21,Karen Green,ronalddunn@example.net,Printer,Photography,1,510,510,Cash,2025-07-10
170,34,Wesley Weber,xmcknight@example.org,Mouse,Photography,1,44,44,Cash,2024-05-17
171,44,Joseph Barnes,thomasgregory@example.org,Laptop,Accessories,4,788,3152,Credit Card,2025-04-05
172,50,Ronald Carter,cherylcosta@example.net,Printer,Photography,1,464,464,Cash,2024-04-21
173,53,Robert Hill,rebeccabutler@example.org,Camera,Photography,1,282,282,PayPal,2025-05-10
174,36,Carla Bradshaw,zunigahannah@example.org,Headphones,Photography,2,57,114,Cash,2025-08-30
175,68,Keith Watkins,carlachavez@example.org,Monitor,Accessories,5,1388,6940,Cash,2025-08-22
176,57,Mr. Ronnie Clark,bridgesdavid@example.org,Monitor,Electronics,2,1332,2664,PayPal,2025-08-19
177,51,Daniel Fowler,ehill@example.com,Printer,Photography,3,699,2097,Cash,2024-04-17
178,65,Tyler Fuentes,kingcolin@example.org,Mouse,Photography,,550,0,PayPal,2024-09-30
179,54,Theresa Shields,adamserik@example.org,Printer,Photography,2,1410,2820,Cash,2024-08-02
180,51,Tammy Davis,irobinson@example.org,Webcam,Photography,1,665,665,PayPal
181,33,Wendy Wells,dan80@example.org,Headphones,Accessories,5,1362,6810,Cash,2024-08-04
182,37,Todd King,ewhite@example.com,Tablet,Accessories,1,1234,1234,PayPal,2025-02-03
183,69,Jessica Ward,egeorge@example.com,Camera,Photography,1,797,797,PayPal,2025-09-08
184,43,Joseph Mcclain,parrishthomas@example.org,Mouse,Accessories,4,273,1092,PayPal
185,57,April Wyatt,amy72@example.net,Webcam,Accessories,5,819,4095,PayPal,2025-12-11
186,24,John Harvey,richardsoncraig@example.com,Speaker,Electronics,4,1418,5672,Cash,2025-12-07
187,39,Timothy Montes,jerry86@example.org,Smartphone,Accessories,5,1026,5130,PayPal,2024-12-11
188,31,James Castillo,jelliott@example.net,Laptop,Accessories,1,253,253,Credit Card,2024-08-20
189,18,Logan Fleming,rbrown@example.net,Keyboard,Photography,2,674,1348,Cash,2024-05-20
190,49,Jasmine Thompson,anthony38@example.com,Webcam,Photography,1,940,940,Credit Card,2025-10-03
191,58,Courtney Moore,jenniferchavez@example.net,Headphones,Electronics,2,563,1126,Cash,2025-05-22
192,68,Daniel Morgan,andreagriffin@example.org,Mouse,Accessories,2,266,532,Credit Card,2024-10-25
193,53,David Harrington,maria03@example.net,Smartphone,Photography,3,1336,4008,PayPal,2024-05-13
194,30,Robert Nelson,francislambert@example.net,Laptop,Photography,2,915,1830,Cash,2024-12-02
195,50,Dave Wagner,laura48@example.com,Mouse,Accessories,1,1144,1144,Credit Card,2025-04-14
196,69,Cynthia Porter,christopher49@example.net,Speaker,Electronics,4,616,2464,PayPal,2025-01-14
197,66,Emily Garcia,juliegordon@example.net,Speaker,Photography,3,1319,3957,PayPal,2025-06-24
198,21,Brian Marshall,robert40@example.org,Webcam,Electronics,5,958,4790,Credit Card,2025-04-12
199,48,Joseph Thompson,colezachary@example.org,Tablet,Electronics,2,1007,2014,Credit Card,2024-08-17
200,21,Jessica Figueroa,todd41@example.com,Keyboard,Electronics,1,534,534,Credit Card,2025-03-22
201,19,Michael Patterson,maryrodriguez@example.org,Monitor,Electronics,1,844,844,Cash,2025-11-12
202,52,Casey Vega,paul52@example.net,Speaker,Photography,3,999,2997,Credit Card,2025-04-07
203,21,Jimmy Martin,trevorschmidt@example.net,Monitor,Accessories,5,868,4340,Credit Card,2025-12-23
204,22,Jacqueline Little,matthewwilliams@example.org,Keyboard,Photography,4,616,2464,PayPal,2025-12-16
205,64,Tanya Williams,jklein@example.net,Webcam,Accessories,4,1089,4356,Credit Card,2026-02-09
206,40,Kristin Lowe,jason04@example.com,Mouse,Electronics,2,1316,2632,Credit Card,2024-09-30
207,26,Carol Todd,pdavis@example.com,Laptop,Photography,4,1306,5224,Cash,2024-08-06
208,53,Matthew Montgomery,erikachan@example.net,Headphones,Accessories,3,438,1314,PayPal,2026-01-13
209,54,Elizabeth Phillips,riverasean@example.net,Camera,Accessories,1,423,423,PayPal,2024-03-19
210,35,Patrick Clark,wyoung@example.org,Printer,Electronics,1,225,225,PayPal,2024-07-30
211,41,Tammy Randall,hortega@example.net,Laptop,Electronics,5,709,3545,Cash,2025-03-04
212,58,William Jensen,danielhunt@example.net,Smartphone,Electronics,4,858,3432,PayPal,2025-07-24
213,52,Logan Harris,campbelljennifer@example.com,Mouse,Accessories,1,288,288,Cash,2024-03-29
214,38,Dr. Cindy White MD,flemingjoseph@example.net,Smartphone,Accessories,1,20,20,Cash,2025-09-11
215,59,Kim Perez,benjaminpatterson@example.net,Smartphone,Photography,1,492,492,Credit Card,2024-08-27
216,26,Juan Lee,jdean@example.net,Printer,Electronics,3,774,2322,PayPal,2025-10-13
217,57,Matthew Guerrero,anthony82@example.org,Headphones,Accessories,3,368,1104,PayPal,2024-09-13
218,58,Kimberly Caldwell,matthew38@example.net,Printer,Electronics,4,1049,4196,Cash,2026-01-21
219,41,Mr. Thomas Myers DVM,steven39@example.com,Keyboard,Electronics,2,1385,2770,PayPal,2024-09-28
220,62,Tony Garcia,amanda39@example.org,Printer,Accessories,4,119,476,Credit Card,2025-09-04
221,23,Katherine Robinson,billycurry@example.com,Webcam,Electronics,3,756,2268,PayPal,2025-09-12
222,49,Carla Hughes,dennis23@example.net,Printer,Electronics,4,1281,5124,PayPal,2024-11-22
223,30,Connie Carter,gregorywatkins@example.com,Webcam,Photography,5,21,105,Credit Card,2024-04-17
224,52,Daniel Pugh,carrie03@example.net,Speaker,Photography,2,1279,2558,Cash,2025-07-01
225,43,Ashley Williams,xsmith@example.net,Webcam,Photography,3,1130,3390,PayPal,2024-12-05
226,37,Travis Salazar,ybuckley@example.net,Tablet,Electronics,,1023,0,Credit Card,2025-07-21
227,25,Nicholas Holland,fshah@example.net,Laptop,Accessories,2,1102,2204,Cash,2024-12-08
228,20,Pamela Bolton,cruzjanice@example.com,Printer,Accessories,1,670,670,PayPal,2025-12-24
229,59,Johnny Miles,zcooper@example.org,Tablet,Photography,3,411,1233,PayPal,2025-06-01
230,36,Kristen Carroll,kimberly03@example.com,Laptop,Accessories,5,236,1180,PayPal,2024-11-06
231,67,Bradley Flores,chadsantiago@example.org,Keyboard,Electronics,1,242,242,PayPal,2025-10-12
232,66,Kathryn Dunn,pochoa@example.org,Keyboard,Accessories,3,681,2043,Credit Card,2025-08-19
233,38,Jeremiah Johnson,hallison@example.com,Headphones,Photography,3,428,1284,Credit Card,2025-11-18
234,66,Elizabeth Medina,williammitchell@example.org,Camera,Electronics,1,1154,1154,Credit Card,2025-08-23
235,33,Jennifer Velasquez,martineztracy@example.org,Mouse,Photography,5,497,2485,Credit Card,2024-05-22
236,30,John Brown,kristengriffin@example.net,Keyboard,Electronics,3,362,1086,Cash,2025-11-27
237,62,Carol Alvarado,estesaustin@example.net,Laptop,Photography,4,1254,5016,PayPal,2024-11-11
238,40,Calvin Fitzgerald,robertbray@example.net,Monitor,Electronics,2,601,1202,Cash,2024-06-07
239,30,Katherine Mcguire,cynthia78@example.org,Headphones,Electronics,3,419,1257,Cash,2024-04-03
240,47,Michelle Pope,nsantos@example.net,Monitor,Accessories,1,24,24,Cash,2024-06-07
241,42,Erin Montoya,melissa46@example.net,Camera,Photography,1,195,195,PayPal,2025-06-13
242,50,Matthew Smith,nedwards@example.org,Webcam,Accessories,5,1416,7080,Cash,2024-04-27
243,42,Jessica Lopez,bowmankarina@example.org,Smartphone,Accessories,3,1065,3195,PayPal,2024-10-13
244,38,Cheryl Roberts,gregoryjones@example.net,Camera,Photography,3,914,2742,Credit Card,2025-04-08
245,43,Emily Ruiz,karen69@example.net,Mouse,Electronics,2,1098,2196,Credit Card,2024-05-07
246,58,,deborahcollier@example.net,Speaker,Electronics,5,1151,5755,Credit Card,2025-04-10
247,59,Brandon Gray,hahnapril@example.com,Webcam,Electronics,2,1212,2424,Credit Card,2025-05-02
248,50,,brandyoconnor@example.org,Speaker,Photography,2,630,1260,Credit Card,2025-07-29
249,37,Melissa Parker,iarnold@example.net,Keyboard,Accessories,3,1421,4263,Cash,2024-12-16
250,49,Chelsey Smith,kayla48@example.com,Monitor,Accessories,4,1498,5992,Cash,2024-10-22
251,59,Kelly Arroyo,brendawilcox@example.com,Webcam,Photography,1,1354,1354,PayPal,2024-06-07
252,44,Anna Evans,belinda70@example.com,Headphones,Electronics,5,986,4930,Cash,2024-11-25
253,28,Gina Hunt,steven88@example.com,Tablet,Electronics,1,1456,1456,PayPal
254,29,Brenda Caldwell,tbarr@example.com,Smartphone,Electronics,5,415,2075,Credit Card,2024-06-10
255,19,Dana Robinson,reyesmartin@example.net,Smartphone,Electronics,2,1378,2756,PayPal,2024-06-13
256,67,Jeff Tran,leslie49@example.org,Webcam,Accessories,5,67,335,Credit Card,2024-06-24
257,53,Dawn Durham,brian79@example.com,Printer,Electronics,3,1227,3681,Credit Card,2024-05-23
258,35,Laurie Jones,dawn69@example.com,Headphones,Photography,3,1300,3900,PayPal,2025-05-18
259,35,,johnsonkayla@example.com,Keyboard,Electronics,5,1048,5240,PayPal,2025-06-23
260,26,Regina Lawson,christinajuarez@example.net,Monitor,Accessories,3,884,2652,Credit Card,2025-09-27
261,55,Norma Smith,olivia35@example.com,Keyboard,Electronics,2,444,888,PayPal,2025-06-22
262,31,,gschneider@example.com,Smartphone,Accessories,2,55,110,Cash,2024-07-13
263,20,Jay Cruz,richmondstacey@example.com,Laptop,Photography,2,1087,2174,Cash,2025-01-17
264,47,Robert Wright,pbrown@example.org,Mouse,Photography,1,688,688,PayPal,2025-04-03
265,24,Deborah Sims,ianwhitaker@example.com,Printer,Electronics,2,714,1428,Cash,2024-05-10
266,69,Rhonda Tanner,xknight@example.org,Speaker,Accessories,4,673,2692,Cash,2024-06-28
267,33,Miranda Delgado,daniel76@example.org,Mouse,Electronics,4,734,2936,Cash,2024-04-29
268,59,Rebecca Chapman,urodgers@example.net,Headphones,Accessories,1,1245,1245,Credit Card,2026-01-30
269,19,Jeffrey Johnson,barbara83@example.net,Laptop,Electronics,4,1035,4140,PayPal,2024-05-04
270,21,Natalie Hunter,davidhanson@example.net,Tablet,Photography,1,823,823,Credit Card,2025-10-28
271,21,Kimberly Green,steven35@example.com,Headphones,Photography,,956,0,Cash,2025-12-28
272,52,Justin Jensen,steven14@example.org,Headphones,Accessories,5,422,2110,PayPal,2025-10-16
273,65,Kristen Ward,gary76@example.com,Monitor,Accessories,5,70,350,Credit Card
274,41,Christopher Bryant,cindymoreno@example.net,Smartphone,Electronics,2,586,1172,Cash,2025-04-03
275,18,Michael Jones,barreraashley@example.com,Mouse,Photography,5,331,1655,PayPal,2024-07-20
276,37,Jose Ross,ericlopez@example.org,Monitor,Accessories,2,738,1476,Cash,2025-04-06
277,21,Sandy Hernandez,kholland@example.net,Laptop,Photography,5,569,2845,Credit Card,2024-09-22
278,27,Deborah Herrera,carrscott@example.com,Tablet,Accessories,3,1112,3336,Cash,2024-12-29
