Customer,Email,Amount,Date
,karim@gmail.com,700,"March 1, 2025"
,karim@gmail.com,700,"March 1, 2025"
RAFI,salma@gmail.com,,01-03-2025
karim,,800,2025/03/01
karim,salma@gmail.com,1200,"March 1, 2025"
 Rahim ,rahim@gmail.com,500,01-03-2025
Jamal ,,1200,01-03-2025
karim,rahim@gmail.com,500,
RAFI,,800,2025/03/01
 nabila,,800,
 nabila,,450,
,,One Thousand,01-03-2025
RAFI,,,01-03-2025
SALMA,salma@gmail.com,500,01-03-2025
Jamal ,karim@gmail.com,,2025/03/01
karim,salma@gmail.com,500,
RAFI,salma@gmail.com,1200,"March 1, 2025"
,,800,"March 1, 2025"
Jamal ,rahim@gmail.com,1200,01-03-2025
karim,rahim@gmail.com,800,
,karim@gmail.com,700,2025/03/01
karim,,700,01-03-2025
RAFI,rahim@gmail.com,500,2025/03/01
RAFI,,One Thousand,2025/03/01
,rahim@gmail.com,1200,"March 1, 2025"
 nabila,karim@gmail.com,450,
 nabila,salma@gmail.com,,2025/03/01
 Rahim ,rahim@gmail.com,One Thousand,"March 1, 2025"
RAFI,rahim@gmail.com,500,"March 1, 2025"
karim,rahim@gmail.com,,"March 1, 2025"
,,800,2025/03/01
RAFI,,,2025/03/01
 Rahim ,,700,"March 1, 2025"
SALMA,,1200,
 Rahim ,salma@gmail.com,One Thousand,"March 1, 2025"
Jamal ,salma@gmail.com,800,"March 1, 2025"
SALMA,rahim@gmail.com,One Thousand,
Jamal ,salma@gmail.com,700,
 nabila,rahim@gmail.com,One Thousand,2025/03/01
,rahim@gmail.com,1200,
,karim@gmail.com,800,2025/03/01
,,1200,01-03-2025
,salma@gmail.com,450,
karim,rahim@gmail.com,500,01-03-2025
 nabila,salma@gmail.com,,
 Rahim ,,800,"March 1, 2025"
karim,,450,"March 1, 2025"
 Rahim ,salma@gmail.com,800,"March 1, 2025"
karim,,1200,
RAFI,salma@gmail.com,450,01-03-2025
 nabila,salma@gmail.com,1200,"March 1, 2025"
 Rahim ,,1200,01-03-2025
,rahim@gmail.com,,01-03-2025
,,,"March 1, 2025"
Jamal ,rahim@gmail.com,800,
 Rahim ,,,01-03-2025
karim,,,"March 1, 2025"
SALMA,,500,"March 1, 2025"
,karim@gmail.com,One Thousand,2025/03/01
RAFI,salma@gmail.com,,01-03-2025
karim,,1200,2025/03/01
 Rahim ,,,01-03-2025
SALMA,karim@gmail.com,700,"March 1, 2025"
karim,rahim@gmail.com,1200,
,,1200,2025/03/01
RAFI,,,
 Rahim ,,,"March 1, 2025"
,,700,
karim,rahim@gmail.com,1200,
RAFI,salma@gmail.com,One Thousand,2025/03/01
RAFI,,,
,rahim@gmail.com,800,01-03-2025
 nabila,,1200,"March 1, 2025"
 Rahim ,rahim@gmail.com,,
SALMA,karim@gmail.com,500,"March 1, 2025"
 nabila,salma@gmail.com,500,2025/03/01
 nabila,,One Thousand,"March 1, 2025"
karim,salma@gmail.com,1200,01-03-2025
SALMA,rahim@gmail.com,500,01-03-2025
RAFI,karim@gmail.com,500,"March 1, 2025"
SALMA,,700,2025/03/01
karim,salma@gmail.com,One Thousand,
SALMA,rahim@gmail.com,800,01-03-2025
Jamal ,salma@gmail.com,800,
 Rahim ,karim@gmail.com,1200,
karim,rahim@gmail.com,450,
Jamal ,rahim@gmail.com,,"March 1, 2025"
Jamal ,salma@gmail.com,500,"March 1, 2025"
SALMA,,700,
Jamal ,karim@gmail.com,1200,"March 1, 2025"
Jamal ,salma@gmail.com,One Thousand,
RAFI,,1200,"March 1, 2025"
SALMA,karim@gmail.com,450,"March 1, 2025"
 nabila,,500,2025/03/01
 nabila,rahim@gmail.com,500,
 Rahim ,,450,2025/03/01
karim,,,"March 1, 2025"
,,,2025/03/01
SALMA,salma@gmail.com,500,"March 1, 2025"
karim,,One Thousand,2025/03/01
karim,,,"March 1, 2025"
RAFI,,700,01-03-2025
 nabila,salma@gmail.com,One Thousand,
 nabila,karim@gmail.com,700,"March 1, 2025"
,salma@gmail.com,800,"March 1, 2025"
Jamal ,salma@gmail.com,800,2025/03/01
Jamal ,rahim@gmail.com,450,"March 1, 2025"
RAFI,salma@gmail.com,,
Jamal ,karim@gmail.com,700,
Jamal ,,700,"March 1, 2025"
RAFI,salma@gmail.com,450,
RAFI,,500,01-03-2025
SALMA,rahim@gmail.com,,2025/03/01
karim,,1200,01-03-2025
RAFI,karim@gmail.com,One Thousand,
 nabila,rahim@gmail.com,One Thousand,"March 1, 2025"
karim,,One Thousand,
 Rahim ,karim@gmail.com,,"March 1, 2025"
,salma@gmail.com,500,
Jamal ,,One Thousand,
RAFI,,800,2025/03/01
SALMA,,450,01-03-2025
karim,salma@gmail.com,700,2025/03/01
karim,,800,01-03-2025
 Rahim ,rahim@gmail.com,450,
SALMA,salma@gmail.com,One Thousand,"March 1, 2025"
SALMA,salma@gmail.com,500,"March 1, 2025"
karim,,800,01-03-2025
,karim@gmail.com,450,01-03-2025
 Rahim ,,,2025/03/01
 nabila,karim@gmail.com,450,2025/03/01
 Rahim ,,1200,01-03-2025
SALMA,,500,
 nabila,rahim@gmail.com,One Thousand,
karim,rahim@gmail.com,800,
RAFI,karim@gmail.com,,"March 1, 2025"
RAFI,,700,01-03-2025
 nabila,,One Thousand,
 Rahim ,,,01-03-2025
SALMA,karim@gmail.com,,
Jamal ,salma@gmail.com,450,
karim,,450,2025/03/01
,,450,
 Rahim ,rahim@gmail.com,,
SALMA,,1200,2025/03/01
RAFI,rahim@gmail.com,800,01-03-2025
SALMA,karim@gmail.com,800,
karim,,450,"March 1, 2025"
SALMA,karim@gmail.com,,
RAFI,karim@gmail.com,One Thousand,2025/03/01
karim,karim@gmail.com,,"March 1, 2025"
,,One Thousand,
,karim@gmail.com,500,"March 1, 2025"
Jamal ,salma@gmail.com,1200,2025/03/01
Jamal ,rahim@gmail.com,One Thousand,
Jamal ,salma@gmail.com,800,"March 1, 2025"
,karim@gmail.com,500,
SALMA,,450,
SALMA,,450,"March 1, 2025"
,karim@gmail.com,1200,
SALMA,,450,01-03-2025
 nabila,salma@gmail.com,500,
karim,,500,"March 1, 2025"
Jamal ,rahim@gmail.com,700,"March 1, 2025"
karim,,700,2025/03/01
Jamal ,salma@gmail.com,450,"March 1, 2025"
 Rahim ,,450,01-03-2025
 nabila,,,01-03-2025
,rahim@gmail.com,500,2025/03/01
,karim@gmail.com,One Thousand,
Jamal ,,700,
,,,2025/03/01
 nabila,,500,"March 1, 2025"
,,450,01-03-2025
SALMA,karim@gmail.com,,"March 1, 2025"
 nabila,,,01-03-2025
RAFI,salma@gmail.com,500,"March 1, 2025"
Jamal ,salma@gmail.com,,2025/03/01
karim,,450,
SALMA,salma@gmail.com,450,01-03-2025
RAFI,,500,
,karim@gmail.com,700,
SALMA,karim@gmail.com,,
SALMA,salma@gmail.com,One Thousand,"March 1, 2025"
 nabila,salma@gmail.com,700,01-03-2025
,rahim@gmail.com,450,2025/03/01
 nabila,salma@gmail.com,One Thousand,01-03-2025
SALMA,salma@gmail.com,450,01-03-2025
SALMA,rahim@gmail.com,700,"March 1, 2025"
Jamal ,salma@gmail.com,700,"March 1, 2025"
,karim@gmail.com,800,2025/03/01
 nabila,karim@gmail.com,450,01-03-2025
,,800,
Jamal ,,500,01-03-2025
SALMA,rahim@gmail.com,One Thousand,
SALMA,,1200,01-03-2025
RAFI,rahim@gmail.com,500,
Jamal ,,1200,
 nabila,,1200,2025/03/01
RAFI,karim@gmail.com,One Thousand,
karim,rahim@gmail.com,One Thousand,2025/03/01
 Rahim ,salma@gmail.com,800,
RAFI,,One Thousand,01-03-2025
 nabila,,1200,2025/03/01
karim,rahim@gmail.com,1200,"March 1, 2025"
SALMA,salma@gmail.com,700,01-03-2025
,salma@gmail.com,700,2025/03/01
Jamal ,salma@gmail.com,,
RAFI,,450,01-03-2025
 Rahim ,,500,"March 1, 2025"
SALMA,rahim@gmail.com,700,01-03-2025
RAFI,karim@gmail.com,800,2025/03/01
RAFI,,450,01-03-2025
RAFI,karim@gmail.com,500,2025/03/01
Jamal ,,800,"March 1, 2025"
 Rahim ,rahim@gmail.com,700,"March 1, 2025"
 Rahim ,,One Thousand,01-03-2025
 Rahim ,,One Thousand,
,rahim@gmail.com,500,
 Rahim ,,700,01-03-2025
 Rahim ,karim@gmail.com,500,2025/03/01
RAFI,karim@gmail.com,One Thousand,2025/03/01
,,500,2025/03/01
 nabila,rahim@gmail.com,,"March 1, 2025"
RAFI,,450,01-03-2025
,salma@gmail.com,1200,
Jamal ,karim@gmail.com,1200,2025/03/01
 Rahim ,,700,01-03-2025
 Rahim ,karim@gmail.com,500,"March 1, 2025"
 nabila,salma@gmail.com,,
karim,salma@gmail.com,,2025/03/01
 Rahim ,,One Thousand,01-03-2025
 nabila,salma@gmail.com,1200,
 nabila,salma@gmail.com,,
,rahim@gmail.com,1200,2025/03/01
karim,rahim@gmail.com,One Thousand,"March 1, 2025"
SALMA,karim@gmail.com,One Thousand,01-03-2025
SALMA,karim@gmail.com,1200,01-03-2025
,karim@gmail.com,1200,
 Rahim ,,450,01-03-2025
Jamal ,karim@gmail.com,800,2025/03/01
SALMA,karim@gmail.com,450,2025/03/01
karim,karim@gmail.com,One Thousand,
RAFI,salma@gmail.com,450,2025/03/01
RAFI,rahim@gmail.com,,"March 1, 2025"
RAFI,salma@gmail.com,450,01-03-2025
karim,karim@gmail.com,1200,
,salma@gmail.com,1200,"March 1, 2025"
SALMA,,500,
 nabila,rahim@gmail.com,800,01-03-2025
SALMA,salma@gmail.com,500,
RAFI,karim@gmail.com,,01-03-2025
RAFI,,1200,"March 1, 2025"
,rahim@gmail.com,500,"March 1, 2025"
,karim@gmail.com,500,01-03-2025
,rahim@gmail.com,,2025/03/01
 nabila,,800,
karim,rahim@gmail.com,700,
Jamal ,karim@gmail.com,1200,"March 1, 2025"
Jamal ,karim@gmail.com,450,"March 1, 2025"
,salma@gmail.com,One Thousand,2025/03/01
 Rahim ,karim@gmail.com,One Thousand,
karim,karim@gmail.com,1200,
,rahim@gmail.com,500,
 Rahim ,salma@gmail.com,1200,01-03-2025
RAFI,salma@gmail.com,450,01-03-2025
 nabila,karim@gmail.com,500,01-03-2025
karim,rahim@gmail.com,800,2025/03/01
Jamal ,karim@gmail.com,500,"March 1, 2025"
 Rahim ,rahim@gmail.com,450,01-03-2025
,salma@gmail.com,1200,01-03-2025
SALMA,,500,2025/03/01
 Rahim ,karim@gmail.com,,
Jamal ,rahim@gmail.com,,01-03-2025
,rahim@gmail.com,1200,01-03-2025
karim,,700,
 nabila,,1200,"March 1, 2025"
,,800,"March 1, 2025"
RAFI,,450,"March 1, 2025"
karim,karim@gmail.com,1200,2025/03/01
RAFI,,,"March 1, 2025"
 Rahim ,salma@gmail.com,700,2025/03/01
Jamal ,salma@gmail.com,450,"March 1, 2025"
RAFI,karim@gmail.com,One Thousand,2025/03/01
,rahim@gmail.com,500,01-03-2025
karim,karim@gmail.com,500,"March 1, 2025"
,salma@gmail.com,1200,2025/03/01
RAFI,,One Thousand,"March 1, 2025"
 Rahim ,,700,01-03-2025
SALMA,rahim@gmail.com,450,2025/03/01
RAFI,,800,"March 1, 2025"
Jamal ,,,"March 1, 2025"
 Rahim ,karim@gmail.com,One Thousand,01-03-2025
SALMA,rahim@gmail.com,1200,"March 1, 2025"
SALMA,,,2025/03/01
Jamal ,salma@gmail.com,700,2025/03/01
karim,,One Thousand,"March 1, 2025"
 Rahim ,rahim@gmail.com,800,01-03-2025
SALMA,salma@gmail.com,,01-03-2025
RAFI,,800,01-03-2025
Jamal ,salma@gmail.com,,01-03-2025
 Rahim ,,,
Jamal ,karim@gmail.com,1200,2025/03/01
karim,,700,01-03-2025
karim,karim@gmail.com,One Thousand,
 Rahim ,rahim@gmail.com,450,2025/03/01
Jamal ,,,"March 1, 2025"
,,One Thousand,01-03-2025
SALMA,,500,"March 1, 2025"
Jamal ,,450,2025/03/01
RAFI,rahim@gmail.com,1200,"March 1, 2025"
RAFI,karim@gmail.com,450,2025/03/01
RAFI,,800,01-03-2025
RAFI,,700,01-03-2025
RAFI,,One Thousand,2025/03/01
Jamal ,,700,"March 1, 2025"
 nabila,karim@gmail.com,500,"March 1, 2025"
RAFI,salma@gmail.com,1200,
 nabila,,,"March 1, 2025"
,rahim@gmail.com,700,
 nabila,rahim@gmail.com,1200,2025/03/01
,,800,
RAFI,rahim@gmail.com,One Thousand,01-03-2025
Jamal ,rahim@gmail.com,,2025/03/01
RAFI,,500,01-03-2025
,rahim@gmail.com,450,2025/03/01
karim,rahim@gmail.com,800,"March 1, 2025"
SALMA,salma@gmail.com,,
Jamal ,,1200,
 nabila,karim@gmail.com,700,01-03-2025
karim,,1200,2025/03/01
Jamal ,,800,2025/03/01
Jamal ,salma@gmail.com,800,2025/03/01
RAFI,,800,"March 1, 2025"
Jamal ,,500,
 Rahim ,salma@gmail.com,700,
SALMA,rahim@gmail.com,800,01-03-2025
karim,rahim@gmail.com,500,"March 1, 2025"
 Rahim ,karim@gmail.com,500,"March 1, 2025"
Jamal ,,450,2025/03/01
 Rahim ,rahim@gmail.com,700,"March 1, 2025"
SALMA,salma@gmail.com,1200,2025/03/01
karim,karim@gmail.com,One Thousand,"March 1, 2025"
karim,,700,2025/03/01
 nabila,,700,01-03-2025
 nabila,,800,01-03-2025
,,1200,01-03-2025
SALMA,,500,01-03-2025
SALMA,,500,"March 1, 2025"
RAFI,salma@gmail.com,700,2025/03/01
 nabila,salma@gmail.com,500,01-03-2025
Jamal ,salma@gmail.com,500,2025/03/01
karim,rahim@gmail.com,,2025/03/01
Jamal ,,800,
 Rahim ,,700,01-03-2025
 Rahim ,karim@gmail.com,450,2025/03/01
RAFI,,One Thousand,2025/03/01
 Rahim ,salma@gmail.com,One Thousand,
,,One Thousand,
Jamal ,rahim@gmail.com,450,
 nabila,karim@gmail.com,500,2025/03/01
Jamal ,,700,2025/03/01
 Rahim ,,500,01-03-2025
,salma@gmail.com,,"March 1, 2025"
karim,rahim@gmail.com,1200,"March 1, 2025"
 Rahim ,salma@gmail.com,,"March 1, 2025"
,,1200,
SALMA,,,2025/03/01
karim,karim@gmail.com,1200,"March 1, 2025"
karim,karim@gmail.com,500,2025/03/01
RAFI,,,2025/03/01
RAFI,salma@gmail.com,500,2025/03/01
RAFI,salma@gmail.com,One Thousand,"March 1, 2025"
,,One Thousand,2025/03/01
 Rahim ,rahim@gmail.com,,
RAFI,salma@gmail.com,1200,01-03-2025
Jamal ,,800,
 nabila,,700,2025/03/01
SALMA,,700,
RAFI,,1200,01-03-2025
Jamal ,,1200,"March 1, 2025"
SALMA,,700,"March 1, 2025"
,,450,
,salma@gmail.com,One Thousand,
 nabila,,500,"March 1, 2025"
 nabila,rahim@gmail.com,500,
karim,,700,
RAFI,rahim@gmail.com,,"March 1, 2025"
RAFI,,450,"March 1, 2025"
karim,,450,
 nabila,,,01-03-2025
Jamal ,salma@gmail.com,,"March 1, 2025"
SALMA,rahim@gmail.com,1200,"March 1, 2025"
,salma@gmail.com,450,2025/03/01
RAFI,,800,
 nabila,,450,
SALMA,salma@gmail.com,1200,"March 1, 2025"
,rahim@gmail.com,450,2025/03/01
 nabila,rahim@gmail.com,800,"March 1, 2025"
karim,karim@gmail.com,800,2025/03/01
,salma@gmail.com,800,01-03-2025
 nabila,salma@gmail.com,500,
,,700,2025/03/01
SALMA,,One Thousand,01-03-2025
 Rahim ,salma@gmail.com,450,01-03-2025
 nabila,salma@gmail.com,450,01-03-2025
Jamal ,rahim@gmail.com,700,01-03-2025
,karim@gmail.com,,2025/03/01
RAFI,,450,01-03-2025
 nabila,salma@gmail.com,500,"March 1, 2025"
 Rahim ,karim@gmail.com,450,01-03-2025
SALMA,karim@gmail.com,700,2025/03/01
 nabila,,1200,"March 1, 2025"
SALMA,karim@gmail.com,500,"March 1, 2025"
 nabila,,700,"March 1, 2025"
,rahim@gmail.com,1200,"March 1, 2025"
 Rahim ,rahim@gmail.com,1200,2025/03/01
SALMA,rahim@gmail.com,1200,01-03-2025
SALMA,,,"March 1, 2025"
SALMA,rahim@gmail.com,500,01-03-2025
 Rahim ,rahim@gmail.com,500,
 Rahim ,,One Thousand,2025/03/01
 Rahim ,,One Thousand,
SALMA,karim@gmail.com,800,"March 1, 2025"
 nabila,,450,
RAFI,rahim@gmail.com,,01-03-2025
RAFI,,800,
Jamal ,,500,"March 1, 2025"
RAFI,salma@gmail.com,700,2025/03/01
SALMA,karim@gmail.com,450,01-03-2025
SALMA,,800,01-03-2025
 nabila,,1200,"March 1, 2025"
Jamal ,,,"March 1, 2025"
 nabila,,700,2025/03/01
Jamal ,rahim@gmail.com,1200,
,rahim@gmail.com,800,"March 1, 2025"
SALMA,,800,2025/03/01
 nabila,salma@gmail.com,800,
 Rahim ,rahim@gmail.com,One Thousand,01-03-2025
SALMA,,450,01-03-2025
 Rahim ,rahim@gmail.com,,"March 1, 2025"
 Rahim ,,800,2025/03/01
RAFI,karim@gmail.com,500,"March 1, 2025"
 nabila,rahim@gmail.com,500,01-03-2025
Jamal ,salma@gmail.com,One Thousand,"March 1, 2025"
RAFI,,800,01-03-2025
 nabila,salma@gmail.com,,
RAFI,,1200,
karim,,450,01-03-2025
SALMA,salma@gmail.com,One Thousand,01-03-2025
karim,,450,"March 1, 2025"
RAFI,,800,01-03-2025
karim,,,01-03-2025
SALMA,karim@gmail.com,450,"March 1, 2025"
,,450,
,karim@gmail.com,450,2025/03/01
 Rahim ,,500,2025/03/01
Jamal ,rahim@gmail.com,One Thousand,2025/03/01
karim,rahim@gmail.com,800,01-03-2025
karim,rahim@gmail.com,1200,
,rahim@gmail.com,One Thousand,2025/03/01
SALMA,karim@gmail.com,,01-03-2025
 nabila,karim@gmail.com,800,01-03-2025
karim,karim@gmail.com,450,"March 1, 2025"
karim,rahim@gmail.com,800,
SALMA,karim@gmail.com,,2025/03/01
SALMA,karim@gmail.com,,
RAFI,salma@gmail.com,One Thousand,2025/03/01
 Rahim ,karim@gmail.com,700,
SALMA,salma@gmail.com,450,2025/03/01
