Order ID,Customer Name,Product,Category,Quantity,Unit Price,Total Amount,Order Date,City,Payment Method,Status
ORD-9850-63,Bob Wilson,Computer Mouse,Gadgets,1.0,1250.52,1250.52,2022-10-14,La,CC,pending
ORD-6876-17,M Brown,Cell Phone,Computers,4.0,463.61,1854.44,2023-10-17,Ny,Google Pay,Refunded
ORD-3854-43,J Smith,Laptop Computer,ELECTRONICS,1.0,1567.13,1567.13,2023-06-10,Mia,PayPal,Unknown
ORD-6120-95,Sarah J.,Tablet Computer,Gadgets,4.0,1671.96,6687.84,2022-04-06,Online,Google Pay,Cancelled
ORD-7929-16,Mike Brown,Keyboard,Mobile,5.0,351.72,1758.6,2023-05-09,Chicago,IL,CASH
ORD-1430-87,Unknown,Mouse,Mobile,3.0,652.52,1957.56,2023-05-11,Manhattan,cash,COMPLETE
ORD-4524-58,Emily Davis,Earphones,Accessories,3.0,1564.83,4694.49,2023-08-05,Ny,Cash,Cancelled
ORD-8033-83,M Brown,Mouse,ELECTRONICS,4.0,3.25,13.0,2023-09-25,Chicago,IL,Debit Card
ORD-2234-32,Online Customer,Mechanical Keyboard,electronics,5.0,925.37,4626.85,2023-02-08,Sea,Google Pay,Delivered
ORD-4509-53,Online Customer,Wireless Headphones,Computers,2.0,626.79,1253.58,2022-04-14,Online,CASH,Completed
ORD-3962-98,Online Customer,Keyboard,Gadgets,1.0,1368.91,1368.91,2022-09-01,Online,CC,Refunded
ORD-8218-69,Online Customer,Tablet,ELECTRONICS,4.0,1642.94,6571.76,2023-09-12,Ny,CC,Delivered
ORD-3626-44,E Davis,Monitor,Gadgets,1.0,482.97,482.97,2023-07-04,Hou,Credit Card,COMPLETE
ORD-1266-55,Guest,LAPTOP,Accessories,1.0,1483.61,1483.61,2022-12-07,Miami,FL,Google Pay
ORD-2033-68,J Smith,Tablet,Computers,2.0,665.41,1330.82,2022-11-14,Miami,FL,CC
ORD-6438-44,John S.,Tablet Computer,ELECTRONICS,4.0,803.96,3215.84,2022-07-11,Chicago,IL,CASH
ORD-7095-66,Online Customer,LAPTOP,Gadgets,4.0,593.45,2373.8,2022-04-27,Miami,CASH,COMPLETE
ORD-9335-38,John S.,smart phone,Gadgets,4.0,5.54,22.16,2023-01-13,Miami,FL,Cash
ORD-3526-31,Unknown,Keyboard,Accessories,5.0,1734.37,8671.85,2022-03-25,Seattle,Apple Pay,Refunded
ORD-3142-57,Emily D.,Computer Monitor,Tech,4.0,926.71,3706.84,2022-05-25,Houston,cash,COMPLETE
ORD-1133-23,Emily Davis,Laptop Computer,Mobile,4.0,831.13,3324.52,2023-08-07,Miami,FL,Apple Pay
ORD-2946-26,John S.,Headphones,Accessories,3.0,762.93,2288.79,2022-05-28,Houston,CASH,Completed
ORD-7824-84,Mike Brown,Computer Mouse,Electronics,3.0,1576.66,4729.98,2023-08-16,Ny,cash,pending
ORD-4968-14,Bob Wilson,Mouse,Tech,4.0,345.29,1381.16,2023-12-09,Sea,CC,Completed
ORD-5442-81,Customer,Cell Phone,Gadgets,5.0,148.99,744.95,2023-06-28,Ny,Debit Card,COMPLETE
ORD-3587-62,R Wilson,Wireless Headphones,electronics,3.0,1309.5,3928.5,2022-02-04,Miami,FL,Credit Card
ORD-4052-47,J Smith,Laptop,Mobile,1.0,703.33,703.33,2023-11-04,Miami,Cash,CANCEL
ORD-8319-44,Michael Brown,Tablet,Electronics,3.0,171.14,513.42,2022-05-02,Houston,CASH,Shipped
ORD-9972-74,S Johnson,Display,Gadgets,5.0,1376.58,6882.9,2023-08-21,Mia,CC,Completed
ORD-6049-12,M Brown,Cell Phone,Electronics,5.0,876.21,4381.05,2023-12-19,Ny,Debit Card,pending
ORD-7266-67,M Brown,Headphones,Tech,5.0,1727.56,8637.8,2022-05-02,Houston,CASH,Cancelled
ORD-9920-64,Robert Wilson,Headphones,Computers,3.0,417.54,1252.62,2022-04-26,Hou,cash,Completed
ORD-1797-41,Walk-in,laptop,ELECTRONICS,5.0,1734.27,8671.35,2022-02-27,Chicago,PayPal,Unknown
ORD-3347-94,Emily D.,Mobile Phone,ELECTRONICS,1.0,1203.75,1203.75,2023-05-11,Miami,FL,CC
ORD-7688-29,Mike Brown,Headphones,Gadgets,4.0,489.42,1957.68,2023-12-26,Ny,CASH,COMPLETE
ORD-4113-25,Walk-in,Wireless Mouse,electronics,5.0,823.43,4117.15,2022-09-03,Chicago,Bank Transfer,pending
ORD-8692-50,S Johnson,Tablet Computer,Accessories,5.0,1495.44,7477.2,2023-05-11,Seattle,cash,COMPLETE
ORD-6530-42,Online Customer,Wireless Headphones,electronics,3.0,1454.61,4363.83,2023-05-16,Miami,FL,Credit Card
ORD-7756-27,R Wilson,Mobile Phone,Tech,1.0,939.22,939.22,2022-03-03,Sea,CC,pending
ORD-5501-78,Mike Brown,Laptop,ELECTRONICS,2.0,237.81,475.62,2022-06-02,Mia,Apple Pay,Delivered
ORD-7499-51,John Smith,Mechanical Keyboard,Mobile,4.0,743.83,2975.32,2023-01-20,Seattle,Bank Transfer,Pending
ORD-7225-91,JOHN SMITH,Computer Mouse,ELECTRONICS,1.0,1888.77,1888.77,2023-01-04,Nyc,Cash,Pending
ORD-5521-63,Mike Brown,Wireless Headphones,Tech,2.0,1016.81,2033.62,2023-09-24,Manhattan,Apple Pay,Completed
ORD-1725-82,R Wilson,Wireless Keyboard,ELECTRONICS,3.0,889.39,2668.17,2022-01-11,Mia,CASH,CANCEL
ORD-4053-91,Unknown,Headphone,ELECTRONICS,5.0,926.67,4633.35,2023-05-11,La,PayPal,Shipped
ORD-6340-35,E Davis,Lpt,Mobile,4.0,1296.26,5185.04,2023-09-04,Seattle,Debit Card,Delivered
ORD-2388-96,JOHN SMITH,iPad,Tech,1.0,1402.2,1402.2,2023-06-08,Manhattan,cash,COMPLETE
ORD-9022-46,JOHN SMITH,Smartphone,Accessories,5.0,750.13,3750.65,2022-01-10,Houston,CASH,CANCEL
ORD-2354-82,John Smith,Wireless Mouse,Computers,3.0,612.91,1838.73,2023-04-14,Miami,CASH,CANCEL
ORD-2525-61,Emily D.,Computer Mouse,Mobile,3.0,1001.69,3005.07,2023-08-19,Online,Debit Card,pending
ORD-2678-23,Michael Brown,Tablet Computer,Mobile,2.0,1370.42,2740.84,2022-03-12,Sea,Cash,pending
ORD-9209-63,Emily Davis,Mouse,ELECTRONICS,5.0,347.73,1738.65,2023-05-11,La,Cash,CANCEL
ORD-9368-56,J Smith,Wireless Headphones,Gadgets,3.0,1793.82,5381.46,2023-05-11,Online,CASH,Completed
ORD-2129-69,Mike Brown,Wireless Mouse,Mobile,5.0,769.39,3846.95,2022-10-26,Online,cash,Refunded
ORD-4641-26,S Johnson,Headphones,Accessories,1.0,554.7,554.7,2022-03-18,La,CC,Cancelled
ORD-3752-83,Emily Davis,Computer Mouse,ELECTRONICS,4.0,386.97,1547.88,2022-08-08,Houston,TX,Cash
ORD-9231-51,M Brown,Cell Phone,Gadgets,5.0,1796.74,8983.7,2022-10-15,Miami,CASH,Delivered
ORD-3876-72,J Smith,LAPTOP,Electronics,2.0,4.79,9.58,2022-12-06,Manhattan,Google Pay,Cancelled
ORD-3320-24,Emily D.,Tablet Computer,Tech,4.0,706.29,2825.16,2022-11-27,Online,Bank Transfer,pending
ORD-4657-95,Bob Wilson,Smartphone,ELECTRONICS,3.0,1471.22,4413.66,2023-12-20,Seattle,Credit Card,Cancelled
ORD-2770-10,J Smith,Headphones,electronics,2.0,1011.51,2023.02,2023-05-11,Nyc,CC,Unknown
ORD-6221-43,John S.,LAPTOP,Accessories,4.0,196.25,785.0,2022-06-04,Sea,CC,Completed
ORD-6424-36,S Johnson,Headphone,Mobile,3.0,146.79,440.37,2023-08-09,Manhattan,Credit Card,Delivered
ORD-7858-78,Unknown,Wireless Headphones,Computers,1.0,1715.18,1715.18,2022-02-05,Mia,cash,Unknown
ORD-8750-14,Sarah Johnson,Cell Phone,ELECTRONICS,5.0,833.35,4166.75,2023-10-02,Ny,CC,Shipped
ORD-9054-99,Unknown,Lpt,Computers,4.0,675.69,2702.76,2023-03-03,La,CC,Refunded
ORD-5529-91,Michael Brown,Cell Phone,Mobile,3.0,1058.72,3176.16,2022-09-04,Sea,Bank Transfer,Delivered
ORD-7857-61,M Brown,Computer Mouse,Electronics,5.0,719.18,3595.9,2024-01-01,Seattle,WA,CC
ORD-8496-28,Michael Brown,Mouse,Gadgets,4.0,1973.95,7895.8,2023-05-11,Houston,TX,Apple Pay
ORD-8105-91,Emily Davis,Headphones,ELECTRONICS,4.0,5.34,21.36,2023-01-18,Mia,PayPal,Completed
ORD-2682-59,Emily D.,Display,Mobile,1.0,617.11,617.11,2023-06-17,Hou,Cash,Delivered
ORD-3149-37,Walk-in,Laptop,Gadgets,1.0,1298.63,1298.63,2023-07-02,Ny,Debit Card,Completed
ORD-8772-99,JOHN SMITH,smart phone,Electronics,1.0,576.46,576.46,2023-05-11,Nyc,CASH,Unknown
ORD-6148-11,Customer,Wireless Keyboard,Computers,3.0,1392.07,4176.21,2023-09-26,Online,PayPal,pending
ORD-1894-11,R Wilson,Smartphone,electronics,2.0,1008.71,2017.42,2022-04-09,Ny,CASH,Refunded
ORD-5783-80,Emily D.,Tablet Computer,Tech,2.0,1652.59,3305.18,2023-02-24,La,PayPal,Pending
ORD-9393-48,Customer,Computer Monitor,Accessories,5.0,441.73,2208.65,2023-02-10,Chicago,IL,Cash
ORD-5809-37,Online Customer,Keyboard,electronics,1.0,724.71,724.71,2022-04-09,Sea,PayPal,Completed
ORD-4729-43,Emily Davis,Headphones,electronics,4.0,809.53,3238.12,2023-05-11,Online,cash,Pending
ORD-3360-48,Unknown,Computer Mouse,Accessories,1.0,1132.39,1132.39,2023-05-11,Sea,Bank Transfer,CANCEL
ORD-6131-41,Guest,Mobile Phone,ELECTRONICS,3.0,1479.3,4437.9,2023-05-07,Chicago,CC,CANCEL
ORD-3293-78,S Johnson,Cell Phone,Tech,1.0,1281.67,1281.67,2023-08-19,Seattle,PayPal,Completed
ORD-4658-85,Walk-in,Tablet,Gadgets,5.0,759.54,3797.7,2022-11-01,Sea,Cash,CANCEL
ORD-8898-87,John Smith,Monitor,Gadgets,2.0,1304.78,2609.56,2022-08-05,Chicago,IL,cash
ORD-8848-36,Bob Wilson,Smartphone,ELECTRONICS,1.0,1205.08,1205.08,2023-05-11,Seattle,Cash,Completed
ORD-5157-49,Bob Wilson,Tablet Computer,ELECTRONICS,1.0,920.86,920.86,2023-12-18,Mia,Bank Transfer,Delivered
ORD-1086-21,JOHN SMITH,Wireless Headphones,ELECTRONICS,3.0,206.08,618.24,2022-08-02,Houston,cash,CANCEL
ORD-8192-11,S Johnson,Wireless Keyboard,Mobile,5.0,1411.98,7059.9,2023-09-22,Chicago,IL,PayPal
ORD-6924-88,Sarah J.,Smartphone,Mobile,4.0,719.04,2876.16,2022-07-08,Hou,Google Pay,Delivered
ORD-4844-94,Sarah J.,Computer Mouse,Tech,4.0,174.4,697.6,2023-04-30,Houston,CASH,Pending
ORD-9165-57,E Davis,Mouse,Electronics,2.0,1562.52,3125.04,2022-03-15,La,Apple Pay,COMPLETE
ORD-8257-41,Walk-in,laptop,Computers,1.0,1965.13,1965.13,2023-04-30,Chicago,Google Pay,Cancelled
ORD-3539-57,Online Customer,LAPTOP,Computers,1.0,709.92,709.92,2023-10-03,Seattle,WA,Cash
ORD-6690-66,Walk-in,smart phone,Electronics,3.0,538.86,1616.58,2022-02-10,Miami,FL,Apple Pay
ORD-5510-86,Robert Wilson,Smartphone,Tech,4.0,563.53,2254.12,2023-05-11,Seattle,WA,CASH
ORD-2037-94,Robert Wilson,Headphones,Computers,4.0,350.56,1402.24,2023-05-11,Chi,Debit Card,Pending
ORD-4784-78,M Brown,smart phone,Computers,2.0,1897.63,3795.26,2023-05-11,Online,Debit Card,Unknown
ORD-3955-80,M Brown,Monitor,Accessories,5.0,913.87,4569.35,2023-05-11,Chi,Google Pay,COMPLETE
ORD-4504-58,Online Customer,Computer Monitor,Mobile,4.0,824.33,3297.32,2022-05-02,Mia,Cash,Shipped
ORD-3832-72,Customer,Mouse,Tech,3.0,1626.27,4878.81,2023-01-26,Chi,Google Pay,COMPLETE
ORD-7266-16,Mike Brown,Monitor,Electronics,5.0,1029.68,5148.4,2022-08-15,Online,Bank Transfer,pending
ORD-9709-21,Sarah Johnson,smart phone,electronics,1.0,1848.43,1848.43,2022-09-11,Online,Cash,Completed
ORD-2015-90,Sarah J.,Headphones,Electronics,3.0,716.48,2149.44,2023-07-02,Online,Bank Transfer,CANCEL
ORD-3502-64,Mike Brown,Keyboard,Accessories,2.0,320.22,640.44,2023-09-07,Manhattan,Apple Pay,CANCEL
ORD-7457-88,Walk-in,Display,Electronics,4.0,1761.65,7046.6,2022-09-09,Online,Credit Card,CANCEL
ORD-3960-25,JOHN SMITH,smart phone,Electronics,3.0,4.98,14.94,2023-05-26,Sea,CC,Refunded
ORD-5659-88,Unknown,Mouse,Gadgets,5.0,119.89,599.45,2022-03-11,Houston,Debit Card,COMPLETE
ORD-8921-77,Mike Brown,Wireless Mouse,Accessories,1.0,1879.15,1879.15,2023-11-24,Ny,CC,COMPLETE
ORD-2426-52,E Davis,laptop,Tech,3.0,7.59,22.77,2023-10-17,La,Apple Pay,Shipped
ORD-2162-48,Robert Wilson,Earphones,ELECTRONICS,2.0,1118.5,2237.0,2023-05-09,La,cash,COMPLETE
ORD-1003-28,Unknown,Laptop Computer,electronics,4.0,921.96,3687.84,2023-05-11,Chicago,cash,Shipped
ORD-3224-20,JOHN SMITH,Mechanical Keyboard,ELECTRONICS,5.0,1265.33,6326.65,2023-04-11,Houston,TX,Bank Transfer
ORD-7533-70,Mike Brown,Wireless Headphones,Computers,4.0,333.04,1332.16,2023-03-22,Houston,TX,Bank Transfer
ORD-7737-22,Emily D.,Lpt,electronics,3.0,116.38,349.14,2023-09-27,Sea,PayPal,Unknown
ORD-1984-43,Sarah J.,Smartphone,electronics,2.0,397.96,795.92,2023-05-19,Hou,PayPal,Unknown
ORD-5105-67,John Smith,Wireless Headphones,Gadgets,1.0,1345.98,1345.98,2022-09-30,Houston,cash,Completed
ORD-1054-59,Customer,Wireless Mouse,electronics,5.0,749.89,3749.45,2023-05-11,Seattle,WA,Debit Card
ORD-3893-80,J Smith,Headphones,Computers,4.0,1279.7,5118.8,2023-01-03,Seattle,WA,CC
ORD-7369-18,Guest,Computer Monitor,Mobile,4.0,82.02,328.08,2022-12-14,Online,Credit Card,COMPLETE
ORD-9791-29,Walk-in,Display,Computers,1.0,1003.34,1003.34,2022-01-20,Sea,Credit Card,Refunded
ORD-6875-44,S Johnson,iPad,Gadgets,5.0,316.18,1580.9,2023-04-22,Chi,PayPal,Shipped
ORD-4763-21,Emily Davis,Monitor,electronics,2.0,1682.13,3364.26,2022-10-13,Online,PayPal,Refunded
ORD-3174-55,Mike Brown,Mobile Phone,Tech,680.0,1421.44,966579.2,2023-08-08,Houston,TX,CC
ORD-4437-38,Michael Brown,Tablet Computer,Mobile,4.0,173.57,694.28,2022-12-20,Mia,Debit Card,pending
ORD-9686-80,E Davis,Earphones,Mobile,3.0,557.01,1671.03,2023-11-05,Ny,Cash,Delivered
ORD-3873-98,Unknown,Laptop Computer,Gadgets,1.0,1170.32,1170.32,2023-05-11,La,CASH,Completed
ORD-5553-35,John Smith,LAPTOP,electronics,1.0,819.13,819.13,2023-05-11,Mia,Credit Card,Delivered
ORD-6047-67,Robert Wilson,LAPTOP,Computers,4.0,860.44,3441.76,2023-05-11,Online,Bank Transfer,COMPLETE
ORD-3219-55,Sarah Johnson,laptop,Mobile,3.0,618.74,1856.22,2023-10-17,Seattle,WA,Cash
ORD-2616-37,Emily D.,Mouse,electronics,5.0,1363.38,6816.9,2022-04-20,Houston,Bank Transfer,Refunded
ORD-1589-14,Sarah Johnson,Computer Monitor,Mobile,2.0,312.25,624.5,2023-02-03,Seattle,CC,CANCEL
ORD-7900-44,John Smith,Mouse,electronics,3.0,811.09,2433.27,2023-08-10,Nyc,PayPal,Delivered
ORD-9700-70,Emily Davis,smart phone,Accessories,3.0,634.82,1904.46,2023-11-11,Hou,Bank Transfer,Shipped
ORD-8145-64,R Wilson,laptop,Computers,2.0,7.9,15.8,2022-12-10,Seattle,WA,Credit Card
ORD-9055-70,Walk-in,Headphone,Accessories,1.0,1412.04,1412.04,2023-06-03,Sea,CASH,Delivered
ORD-8682-27,Michael Brown,Mouse,ELECTRONICS,4.0,1485.4,5941.6,2022-09-20,Ny,Credit Card,Delivered
ORD-8093-28,Sarah J.,Lpt,Accessories,2.0,1948.07,3896.14,2023-05-11,Hou,Apple Pay,Shipped
ORD-6169-72,Online Customer,Laptop Computer,electronics,2.0,407.13,814.26,2023-05-11,Houston,TX,Bank Transfer
ORD-1095-52,J Smith,Mechanical Keyboard,electronics,5.0,1733.39,8666.95,2023-05-11,Ny,Debit Card,CANCEL
ORD-7535-21,John Smith,smart phone,Gadgets,4.0,1517.49,6069.96,2023-11-01,Miami,Bank Transfer,Shipped
ORD-9021-67,M Brown,Wireless Headphones,Mobile,4.0,873.95,3495.8,2023-01-13,Seattle,WA,Bank Transfer
ORD-4083-13,S Johnson,Wireless Headphones,Gadgets,4.0,1723.47,6893.88,2023-07-06,Houston,TX,Cash
ORD-9410-85,Walk-in,Keyboard,electronics,1.0,872.91,872.91,2022-11-20,Seattle,WA,Bank Transfer
ORD-3654-89,S Johnson,Tablet,Tech,2.0,354.81,709.62,2023-05-19,Miami,Apple Pay,Refunded
ORD-3598-32,Emily D.,laptop,Tech,1.0,285.34,285.34,2022-08-18,Chi,Google Pay,Completed
ORD-2389-53,Michael Brown,Headphones,Gadgets,4.0,1337.34,5349.36,2023-10-19,Ny,CASH,Shipped
ORD-3064-76,Robert Wilson,Tablet,Computers,5.0,714.38,3571.9,2023-10-13,Miami,FL,cash
ORD-5661-95,Guest,Mouse,Gadgets,5.0,255.19,1275.95,2023-06-13,Chicago,IL,CC
ORD-3082-72,Customer,Earphones,Gadgets,5.0,280.21,1401.05,2022-08-06,Online,Cash,CANCEL
ORD-5744-15,Emily D.,Laptop Computer,Tech,3.0,997.55,2992.65,2022-05-27,Hou,Credit Card,Shipped
ORD-6328-21,Guest,Keyboard,ELECTRONICS,4.0,139.35,557.4,2023-11-18,Seattle,WA,Debit Card
ORD-3028-92,Robert Wilson,LAPTOP,Computers,5.0,153.11,765.55,2023-08-07,Miami,CASH,Completed
ORD-2627-79,Sarah Johnson,Tablet,Gadgets,1.0,1906.72,1906.72,2023-11-26,Chi,Cash,Completed
ORD-1305-44,Robert Wilson,Display,Tech,5.0,294.86,1474.3,2023-08-05,Seattle,WA,CASH
ORD-7942-81,E Davis,laptop,Electronics,5.0,1945.56,9727.8,2022-01-01,Miami,Apple Pay,Unknown
ORD-9361-46,J Smith,Smartphone,Tech,4.0,1669.47,6677.88,2023-05-11,La,cash,CANCEL
ORD-1324-45,Unknown,Mouse,Accessories,5.0,1626.41,8132.05,2022-08-15,Chicago,IL,Credit Card
ORD-5494-34,Unknown,Laptop,Mobile,4.0,4.28,17.12,2023-05-11,Chi,Bank Transfer,COMPLETE
ORD-3045-20,J Smith,laptop,ELECTRONICS,1.0,170.9,170.9,2023-03-29,Seattle,WA,Bank Transfer
ORD-4172-83,JOHN SMITH,Mechanical Keyboard,Mobile,4.0,917.02,3668.08,2022-09-06,Ny,Cash,Shipped
ORD-9866-28,JOHN SMITH,Wireless Headphones,Mobile,3.0,65.76,197.28,2023-05-11,Ny,PayPal,CANCEL
ORD-4297-18,Michael Brown,smart phone,electronics,4.0,695.73,2782.92,2023-08-16,Sea,Apple Pay,COMPLETE
ORD-3333-47,E Davis,smart phone,Accessories,1.0,604.0,604.0,2023-05-11,Chi,CASH,Refunded
ORD-7208-93,Guest,Lpt,Accessories,3.0,770.8,2312.4,2023-05-11,Mia,cash,COMPLETE
ORD-7569-91,Guest,Display,Electronics,2.0,507.05,1014.1,2022-12-08,Houston,cash,Cancelled
ORD-2350-47,Emily D.,Monitor,Tech,2.0,189.13,378.26,2022-02-09,La,Google Pay,Shipped
ORD-7322-46,S Johnson,Mobile Phone,Mobile,1.0,768.87,768.87,2022-01-12,Hou,Bank Transfer,Cancelled
ORD-7542-34,M Brown,laptop,Electronics,2.0,1509.92,3019.84,2023-05-12,Miami,FL,PayPal
ORD-2646-32,Mike Brown,Lpt,ELECTRONICS,1.0,349.32,349.32,2023-01-02,Ny,CASH,Refunded
ORD-2582-95,Sarah Johnson,Computer Mouse,Gadgets,5.0,687.93,3439.65,2023-05-11,La,CASH,COMPLETE
ORD-3809-42,John S.,Keyboard,Accessories,4.0,1946.12,7784.48,2023-12-12,Seattle,WA,Google Pay
ORD-1621-40,Walk-in,Keyboard,electronics,3.0,669.2,2007.6,2022-02-10,Hou,Apple Pay,Completed
ORD-5068-97,Customer,Computer Mouse,Computers,4.0,407.91,1631.64,2023-10-07,Miami,Debit Card,Refunded
ORD-3644-11,John S.,Wireless Mouse,Tech,4.0,1193.01,4772.04,2022-03-24,Hou,Cash,COMPLETE
ORD-8060-31,Sarah Johnson,Tablet Computer,Gadgets,2.0,1030.1,2060.2,2022-04-23,La,Cash,Refunded
ORD-1118-95,Bob Wilson,laptop,Tech,1.0,1064.14,1064.14,2022-09-30,Chi,cash,COMPLETE
ORD-8785-75,Emily Davis,Wireless Keyboard,Computers,648.0,1634.61,1059227.28,2023-05-11,Ny,Google Pay,pending
ORD-8648-31,E Davis,Lpt,electronics,2.0,382.34,764.68,2023-07-11,Hou,Credit Card,Cancelled
ORD-8803-95,John S.,Wireless Keyboard,Gadgets,4.0,1398.98,5595.92,2022-08-18,Sea,Debit Card,Delivered
ORD-4110-59,Emily Davis,iPad,Accessories,2.0,1223.15,2446.3,2022-08-16,Miami,FL,CC
ORD-4436-37,Guest,Computer Mouse,Computers,1.0,1719.48,1719.48,2023-05-11,Manhattan,Bank Transfer,COMPLETE
ORD-1859-25,Emily D.,Mechanical Keyboard,Accessories,2.0,837.79,1675.58,2022-02-04,Miami,Apple Pay,Unknown
ORD-9830-93,John S.,Wireless Mouse,Computers,1.0,1218.25,1218.25,2022-07-04,Chi,Debit Card,Completed
ORD-1573-20,John S.,Monitor,Mobile,5.0,1955.35,9776.75,2023-11-05,Ny,CASH,Shipped
ORD-3514-50,Guest,Headphone,ELECTRONICS,5.0,576.74,2883.7,2023-06-29,Hou,Debit Card,Delivered
ORD-4698-45,John Smith,Lpt,ELECTRONICS,2.0,254.76,509.52,2022-05-07,Chicago,cash,pending
ORD-7064-41,Unknown,Keyboard,ELECTRONICS,2.0,740.3,1480.6,2023-04-25,Hou,CASH,Refunded
ORD-2388-77,Emily D.,Laptop Computer,ELECTRONICS,4.0,7.7,30.8,2022-09-14,Chicago,IL,Apple Pay
ORD-8198-30,JOHN SMITH,Tablet Computer,ELECTRONICS,899.0,437.01,392871.99,2023-05-11,Houston,Bank Transfer,Delivered
ORD-9602-43,Mike Brown,Mobile Phone,Mobile,5.0,486.66,2433.3,2023-07-01,Seattle,WA,Cash
ORD-5582-32,Sarah J.,Laptop,Tech,4.0,551.82,2207.28,2023-04-10,La,CC,Refunded
ORD-4077-18,JOHN SMITH,LAPTOP,ELECTRONICS,4.0,1077.22,4308.88,2022-01-13,Houston,Credit Card,Pending
ORD-7303-97,Customer,Lpt,electronics,1.0,1915.11,1915.11,2023-05-11,Chi,Debit Card,Delivered
ORD-7782-87,Guest,Mechanical Keyboard,Accessories,2.0,1121.21,2242.42,2023-07-06,Miami,FL,PayPal
ORD-4853-56,John Smith,smart phone,Electronics,4.0,1845.76,7383.04,2022-03-03,Manhattan,Apple Pay,pending
ORD-4679-17,Walk-in,Laptop Computer,Tech,2.0,101.38,202.76,2023-11-03,Nyc,cash,Pending
ORD-5014-19,John Smith,Display,ELECTRONICS,2.0,323.22,646.44,2023-05-11,Miami,Bank Transfer,Delivered
ORD-7950-34,Sarah J.,Lpt,Tech,5.0,704.17,3520.85,2022-03-09,Nyc,Debit Card,Refunded
ORD-1530-40,Sarah J.,LAPTOP,Electronics,4.0,663.43,2653.72,2022-11-13,Chicago,Bank Transfer,CANCEL
ORD-2595-52,Emily Davis,Computer Mouse,Tech,2.0,7.96,15.92,2023-05-04,Ny,Apple Pay,Cancelled
ORD-9151-22,Guest,Laptop,Gadgets,3.0,1939.45,5818.35,2022-03-31,Chi,Cash,Shipped
